종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"189300","인텔리안테크","KOSDAQ","우량기업부","72700","4500","6.60","67600","74300","66300","0.0","33315885150","780313381800","11.0"
"287840","인투셀","KOSDAQ","기술성장기업부","58500","5000","9.35","51800","58600","51500","0.0","21020272150","877552650000","15.0"
"150840","인트로메딕","KOSDAQ","관리종목(소속부없음)","5850","0","0.00","0","0","0","0.0","0","251537720850","43.0"
"048530","인트론바이오","KOSDAQ","기술성장기업부","3265","40","1.24","3290","3300","3150","0.0","698838187","111502237930","34.0"
"023810","인팩","KOSPI",,"10860","970","9.81","9990","11230","9900","0.0","3720567685","108600000000","10.0"
"115310","인포바인","KOSDAQ","벤처기업부","64300","2000","3.21","62300","65500","61800","0.0","560722950","205302376900","3.0"
"039290","인포뱅크","KOSDAQ","중견기업부","5890","-110","-1.83","6000","6050","5890","0.0","106240065","51207530420","9.0"
"071200","인피니트헬스케어","KOSDAQ","관리종목(소속부없음)","5860","0","0.00","0","0","0","0.0","0","142963243880","24.0"
"101930","인화정공","KOSDAQ","우량기업부","48450","0","0.00","48300","49200","47850","0.0","285081200","447333132900","9.0"
"249420","일동제약","KOSPI",,"38600","-100","-0.26","37900","39200","36400","1.0","37222388825","1221236527200","32.0"
"000230","일동홀딩스","KOSPI",,"13330","30","0.23","13300","13350","12720","0.0","1231151435","153833532000","12.0"
"013360","일성건설","KOSPI",,"2170","-75","-3.34","2255","2270","2130","1.0","2483165027","117233989600","54.0"
"003120","일성아이에스","KOSPI",,"21400","-50","-0.23","21450","21900","21000","0.0","79320200","284620000000","13.0"
"333430","일승","KOSDAQ","중견기업부","6190","210","3.51","6000","6260","6000","0.0","1183468760","190198563930","31.0"
"068330","일신바이오","KOSDAQ","중견기업부","1707","37","2.22","1675","1763","1668","0.0","849684893","75476950980","44.0"
"003200","일신방직","KOSPI",,"11960","-20","-0.17","11970","12030","11820","0.0","589765525","274601600000","23.0"
"007110","일신석재","KOSPI",,"1688","-52","-2.99","1722","1730","1681","0.0","803083817","130746757680","77.0"
"007570","일양약품","KOSPI",,"13050","0","0.00","0","0","0","0.0","0","249067915200","19.0"
"007575","일양약품우","KOSPI",,"12980","0","0.00","0","0","0","0.0","0","5777138400","0.0"
"178780","일월지엠엘","KOSDAQ","중견기업부","2735","35","1.30","2740","2780","2705","0.0","122345205","50978198325","19.0"
